servers,clients,Total failed tasks,Avg Completion Time,Avg response time,Entries saved
1,5,0,2.01s,2.011999725,5
1,25,0,1.20s,2.01113475504,25
1,50,0,1.06s,2.0161143265800003,50
1,100,0,1.13s,2.04814555457,100
1,250,0,1.11s,2.148376828304,250
1,500,0,1.99s,2.871573534076,500
1,1000,0,3.57s,7.891381215571999,1000
1,1500,0,6.64s,17.050688638891334,1500
1,2500,3694,4.88s,26.293241534200398,2499
2,5,0,2.51s,4.614005758399999,4
2,25,0,1.84s,2.53474784668,24
2,50,2,2.34s,2.2955789933,47
2,100,4,4.01s,2.1660591546,99
2,250,5,3.51s,2.221722148,248
2,500,178,63.27s,16.658907025420003,496
2,1000,453,612.31s,19.974916669139997,663
2,1500,1545,47.52s,19.085817028253334,69
2,2500,5028,579.18s,31.648375096364,136
3,5,0,2.01s,4.6183555252,5
3,25,0,0.61s,2.5399334633199997,24
3,50,0,6.24s,2.29983025662,17
3,100,0,0.53s,2.1867205121,99
3,250,193,6.10s,16.806871046836,88
3,500,8,3.52s,3.636131783122,497
3,1000,816,141.21s,22.393912271385002,723
3,1500,2861,421.71s,28.622023468195998,389
3,2500,5220,1261.91s,41.0882707239328,164